,raw_comment,cleaned,emotion,score,emoji
3227,This series is so messed up! like girlll they are brothers bro choose one and be happy with it dude.😅,this series is so messed up like girlll they are brothers bro choose one and be happy with it dude,disappointment,0.346,
3228,"Thanks for sharing this, learned a lot.",thanks for sharing this learned a lot,gratitude,0.989,
3229,That one “hey” changes everythinggggg,that one hey changes everythinggggg,neutral,0.758,
3230,TEAM JELLYYYY 😭✨❤️,team jellyyyy,neutral,0.952,
3231,"Awesome video, looking forward to the next one!",awesome video looking forward to the next one,admiration,0.928,
3232,TEAM JELLYYYY 😭✨❤️,team jellyyyy,neutral,0.952,
3233,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
3234,Don’t “hey” us..,dont hey us,neutral,0.948,
3235,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
3236,Team jermaer,team jermaer,neutral,0.966,
3237,"Great job, this video was very useful!",great job this video was very useful,admiration,0.95,
3238,"AHHH IM SO FRIKING EXCITED, JULY NEEDS TO COME FASTER",ahhh im so friking excited july needs to come faster,excitement,0.806,
3239,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
3240,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
3241,THE SONG CHOICE ARE YOU KIDDING ME 😢❤,the song choice are you kidding me,amusement,0.872,
3242,Team Conrad!!!!!,team conrad,neutral,0.967,
3243,CAN&#39;T WAITTTTT,can39t waittttt,neutral,0.97,
3244,LOLA YOU ARE THE PRETTIEST GIRL ACKK😍😍😍😍,lola you are the prettiest girl ackk,admiration,0.917,
3245,🙌🙌❤️❤️,,empty,0.0,
3246,conrad or jeremiah?<br> i wanna know what ppl think!,conrad or jeremiahbr i wanna know what ppl think,curiosity,0.737,
3247,can we talk how with jer it&#39;s summer and warm colors but with connor it&#39;s dark and winter and snow AND BEAUTIFUL LIKE SNOW ON THE BEACH,can we talk how with jer it39s summer and warm colors but with connor it39s dark and winter and snow and beautiful like snow on the beach,neutral,0.467,
3248,This teaser makes the Cabo thing even worse love how they kept the meeting Between belly and Conrad the same as the book.,this teaser makes the cabo thing even worse love how they kept the meeting between belly and conrad the same as the book,disgust,0.602,
3249,FINAL SEASON????,final season,neutral,0.951,
3250,OHHH MYYYY GODDDD ..... Connie babyyyyy 😭😭😭😭😭😭😭😭😭😭😭,ohhh myyyy godddd  connie babyyyyy,excitement,0.313,
3251,BONRAD BONRAD,bonrad bonrad,neutral,0.969,
3252,HOW CAN YOU WANT CONRAD AFTER BEING THIS HAPPY ????!! LIKE I DO NOT SEE HIM CHEATING WHY WOULD HE ???,how can you want conrad after being this happy  like i do not see him cheating why would he,joy,0.734,😊
3253,Nooo! I&#39;m not really ready to say goodbye.,nooo i39m not really ready to say goodbye,neutral,0.404,
3254,CANT WAIT FOR JELLYFISH❤,cant wait for jellyfish,neutral,0.429,
3255,oh I just know this season is going to be insane… I’m ready though🤭,oh i just know this season is going to be insane im ready though,excitement,0.63,
3256,BELLY AND JERE DEFINITELY LOOK SO GOOD TOGETHER AHHH❤,belly and jere definitely look so good together ahhh,admiration,0.905,
3257,Jeremiah gonna pull a Cain and Able this season,jeremiah gonna pull a cain and able this season,neutral,0.95,
3258,Nah is “hey” just says endgame belly and Conrad here we go,nah is hey just says endgame belly and conrad here we go,neutral,0.95,
3259,OMG CANT IT JUST COMR OUT ALREADY <br><br><br>THE WAY CONRAD SAID HEY 😊,omg cant it just comr out already brbrbrthe way conrad said hey,neutral,0.734,
3260,I just noticed belly has chocolate on her face when she opens the door😂😂😂,i just noticed belly has chocolate on her face when she opens the door,neutral,0.359,
3261,Team Jeremiah for life,team jeremiah for life,neutral,0.965,
3262,He had me at hey!,he had me at hey,neutral,0.971,
3263,yes connie babyyyy,yes connie babyyyy,neutral,0.732,
3264,Happy Bonrad season to everyone who celebrates!,happy bonrad season to everyone who celebrates,excitement,0.542,
3265,The song mashup is CRIMINALLLLL,the song mashup is criminalllll,neutral,0.811,
3266,TAYLOR SONGS X TSITP = 😍😍😍,taylor songs x tsitp,neutral,0.97,
3267,"You gotta love marketing tactics…they’re trying to keep fans hooked by only showing Jelly scenes until the very end and then suddenly change the mood and Conrad appears. Fans, especially Jelly ones, are in for a bad awakening once the show aires.",you gotta love marketing tacticstheyre trying to keep fans hooked by only showing jelly scenes until the very end and then suddenly change the mood and conrad appears fans especially jelly ones are in for a bad awakening once the show aires,love,0.505,❤️
3268,OMG,omg,surprise,0.795,😲
3269,HELLO????,hello,neutral,0.966,
3270,OMG OMG OMGGG,omg omg omggg,surprise,0.747,😲
3271,Я ЧЕКАЮЮ🎉🎉,я чекаюю,neutral,0.878,
3272,From This Love to That&#39;s The Way I Loved You to August to Exile to Daylight and to Red!!!!  What a choice of songs.,from this love to that39s the way i loved you to august to exile to daylight and to red  what a choice of songs,love,0.858,❤️
3273,LOVING HIM WAS RED OMG,loving him was red omg,love,0.928,❤️
3274,I HAVE GOOSEBUMPS!! and Taylor&#39;s songs OMFG,i have goosebumps and taylor39s songs omfg,excitement,0.358,
3275,the way that 2 second conrad moment made me feel more than any of the jeramiah scenes says it all,the way that 2 second conrad moment made me feel more than any of the jeramiah scenes says it all,neutral,0.348,
3276,I thought this show ended?,i thought this show ended,confusion,0.435,
3277,I am NOT gonna enjoy all these belly and Jeremiah scenes,i am not gonna enjoy all these belly and jeremiah scenes,disapproval,0.583,
3278,JENNY YOU GENIUS....&quot; i once believed love would be burning RED&quot;....&quot;and loving him was RED&quot;  Team Connie babyyy&#39;s coming home&lt;3,jenny you geniusquot i once believed love would be burning redquotquotand loving him was redquot  team connie babyyy39s coming homelt3,love,0.622,❤️
3279,Always conrad team.. But bella is not good for conrad,always conrad team but bella is not good for conrad,disapproval,0.7,
3280,OMG I AM NOT OK,omg i am not ok,disappointment,0.302,
3281,CONRAD SUPREMACY 😵‍💫😵‍💫😵‍💫😵‍💫 I genuinely do not like Jeremiah and how he only wanted Belly AFTERRRR Conrad spoke up and got her. Lame asl.,conrad supremacy  i genuinely do not like jeremiah and how he only wanted belly afterrrr conrad spoke up and got her lame asl,disapproval,0.42,
3282,Jelly all the wayyyy!!!!!!!,jelly all the wayyyy,neutral,0.906,
3283,OMG ❤❤❤❤❤,omg,surprise,0.795,😲
3284,AHHHH OMG OMG OMG,ahhhh omg omg omg,surprise,0.742,😲
3285,"Marò i brividi, I can&#39;t wait😍😍",marò i brividi i can39t wait,excitement,0.477,
3286,idc care about the book Jeremiah is so sweet in the series he&#39;s the better choice and he loves belly genuinely.. if they still goes with the book plot line they shouldn&#39;t have make his character this sweet. He deserves better!,idc care about the book jeremiah is so sweet in the series he39s the better choice and he loves belly genuinely if they still goes with the book plot line they shouldn39t have make his character this sweet he deserves better,love,0.57,❤️
3287,stop because he took over the whole trailer that was supposed to be about belly and Jere with a simple “hey”. I read the book before seeing this and as a book girlie I am so happy they kept this scene the same!! It warms my heart. The subtle change in song too!! WE SEE YOU JENNY!! Team Connie forever Xo ❤♾️♾️,stop because he took over the whole trailer that was supposed to be about belly and jere with a simple hey i read the book before seeing this and as a book girlie i am so happy they kept this scene the same it warms my heart the subtle change in song too we see you jenny team connie forever xo,joy,0.862,😊
3288,Everyone. Remain. Calm. 😱,everyone remain calm,neutral,0.842,
3289,i am so excited,i am so excited,excitement,0.81,
3290,"im team conrad all the way, but mannn jer looks so happy with her and so does she, please dont break his heartttt (unless hes gonna cheat on her like he did in the books then..)",im team conrad all the way but mannn jer looks so happy with her and so does she please dont break his heartttt unless hes gonna cheat on her like he did in the books then,joy,0.486,😊
3291,AHHH THE BEST SUMMER SHOW! I CAN’T WAIT FOR TSITP TO COME OUT!!!! Song choice amazing And go team Conrad ❤️❤️❤️,ahhh the best summer show i cant wait for tsitp to come out song choice amazing and go team conrad,excitement,0.597,
3292,Goshhhh I love Jeremiah so much I know how the books end but I’m hoping we get a different one this time around TEAM JEREMIAH!!,goshhhh i love jeremiah so much i know how the books end but im hoping we get a different one this time around team jeremiah,love,0.877,❤️
3293,Yess belly and Jeremiah,yess belly and jeremiah,neutral,0.965,
3294,Lets gaurrr s3,lets gaurrr s3,neutral,0.968,
3295,❤Team Jelly forever❤,team jelly forever,neutral,0.967,
3296,The ending is the only good part of this teaser! 😂 Jeremiah can drag his cheating butt to the street with the rest of the trash where he belongs!,the ending is the only good part of this teaser  jeremiah can drag his cheating butt to the street with the rest of the trash where he belongs,approval,0.431,
3297,I love taylor swift so much ❤❤,i love taylor swift so much,love,0.952,❤️
3298,been here since the first season and seeing what tay song they’ll use for each trailer is everything,been here since the first season and seeing what tay song theyll use for each trailer is everything,neutral,0.932,
3299,this comes out the day after my birthdayyy,this comes out the day after my birthdayyy,excitement,0.429,
3300,WE ARE SO BACK AHHHH I‘M SO EXICED,we are so back ahhhh im so exiced,neutral,0.734,
3301,WDYM you gave us only 6 seconds of our Connie baby??????????,wdym you gave us only 6 seconds of our connie baby,neutral,0.922,
3302,Y&#39;all are insane for this!,y39all are insane for this,neutral,0.559,
3303,IM SO READY FOR THIS 😭😭😭,im so ready for this,excitement,0.61,
3304,SCREAMING,screaming,neutral,0.7,
3305,This may be Jeres finest season like why does he look ANGELIC!!,this may be jeres finest season like why does he look angelic,admiration,0.84,
3306,Jeremiah 💕,jeremiah,neutral,0.953,
3307,girl is you are speechless every time you see him you are STILL IN LOVE,girl is you are speechless every time you see him you are still in love,love,0.899,❤️
3308,Team Jere 🩵,team jere,neutral,0.965,
3309,"AGHHHH! I love jeremiah and belly! they ate so cute this season! i’ve read the books, so i know how it ends unfortunately😭",aghhhh i love jeremiah and belly they ate so cute this season ive read the books so i know how it ends unfortunately,love,0.922,❤️
3310,The way i screamed when Conrad showed up like that😂,the way i screamed when conrad showed up like that,neutral,0.463,
3311,Ah that transition aahhh,ah that transition aahhh,neutral,0.583,
3312,"<a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=41"">0:41</a> what’s wrong with belly’s lips??",a href whats wrong with bellys lips,neutral,0.757,
3313,WHAT THE HELLYYYY AHHHH I CANT WAIT,what the hellyyyy ahhhh i cant wait,excitement,0.421,
3314,tema conrad❤,tema conrad,neutral,0.968,
3315,I AM SCAREAMING LOVING HIM WAS SO REDDDDDDDDDDDDDDD,i am scareaming loving him was so reddddddddddddddd,fear,0.552,😱
3316,"uuuuuug huh are they doing this to us 😭😭😭😭 just emotionally abusing us like this 😭 of course this trailer makes me believe jellyfish won&#39;t end up together now. when all they show is them being happy, then of course it won&#39;t last 😭😭😭😭 UGH im gonna be  wreck this July. I think I won&#39;t even be able to make til July 😭",uuuuuug huh are they doing this to us  just emotionally abusing us like this  of course this trailer makes me believe jellyfish won39t end up together now when all they show is them being happy then of course it won39t last  ugh im gonna be  wreck this july i think i won39t even be able to make til july,disappointment,0.299,
3317,they aren’t showing us any Belly &amp; Conrad moments so we shit our pants when the new season comes out,they arent showing us any belly amp conrad moments so we shit our pants when the new season comes out,neutral,0.518,
3318,It doesn&#39;t matter if it was in the books or in the show i CANNOT see belly and jere together i just CAN&#39;T.,it doesn39t matter if it was in the books or in the show i cannot see belly and jere together i just can39t,disapproval,0.416,
3319,I HAVE BEEN WAITING EVERY SINGLE MINUTE FOR THISSSSSSSSSSSSSSSSSSSS,i have been waiting every single minute for thissssssssssssssssssss,neutral,0.795,
3320,OMGGG I know it&#39;s going to be Conrad and I&#39;m also Team Conrad but all those Belly and Jeremiah moments were too cuteeeee. He&#39;s going to be so heartbroken T_T,omggg i know it39s going to be conrad and i39m also team conrad but all those belly and jeremiah moments were too cuteeeee he39s going to be so heartbroken t_t,sadness,0.704,😢
3321,Everything was fine......untill I saw him🥲,everything was fineuntill i saw him,neutral,0.693,
3322,HEY??!,hey,neutral,0.962,
3323,Omgg the undertone and the not so subtle hint of Conrad taking over the entire trailer with just a &quot;hey&quot;!!!<br>Also i would be so heartbroken to see Jeremiah heartbroken if belly chooses Conrad as suggested by the lyrics which change right before &quot;it&#39;s golden&quot; to red😭😭<br><br>SMOOTH AF TRANSITION THOUGHH!!,omgg the undertone and the not so subtle hint of conrad taking over the entire trailer with just a quotheyquotbralso i would be so heartbroken to see jeremiah heartbroken if belly chooses conrad as suggested by the lyrics which change right before quotit39s goldenquot to redbrbrsmooth af transition thoughh,sadness,0.851,😢
3324,The transition from Daylight to RED😮😮😮,the transition from daylight to red,neutral,0.929,
3325,I&#39;m dying!,i39m dying,neutral,0.925,
3326,🥰💓✨🫶🏾,,empty,0.0,
3327,TEAM CONRAD FOREVERRRR,team conrad foreverrrr,neutral,0.957,
3328,this girl is just confused,this girl is just confused,confusion,0.92,
3329,"Wait weren&#39;t conrad and belly together at the end of s2? I dont even remember anymore, girl is switching between them like crazyy!😭",wait weren39t conrad and belly together at the end of s2 i dont even remember anymore girl is switching between them like crazyy,neutral,0.859,
3330,Okk daylight to red,okk daylight to red,neutral,0.956,
3331,I’m so lit rn,im so lit rn,neutral,0.963,
3332,I can’t breathe ❤❤❤❤❤❤,i cant breathe,annoyance,0.296,
3333,Team Connie baby,team connie baby,neutral,0.961,
3334,The whole trailer being Bellyxjeremiah and then there&#39;s Conrad with his &quot;hey&quot; I yelled girls 😭❤🎉,the whole trailer being bellyxjeremiah and then there39s conrad with his quotheyquot i yelled girls,neutral,0.941,
3335,literally ofc it&#39;s him. CONNIE BABY SEASONNBNNBNB,literally ofc it39s him connie baby seasonnbnnbnb,neutral,0.969,
3336,"If she doesn’t end up with jere, I’m gonna be so heartbroken",if she doesnt end up with jere im gonna be so heartbroken,sadness,0.876,😢
3337,감다살,감다살,neutral,0.799,
3338,hello? STAYLOR WHERE😭!!!!!,hello staylor where,neutral,0.968,
3339,Let&#39;s gooo Team Conrad 🙌,let39s gooo team conrad,neutral,0.968,
3340,TEAM JELLY!!!! ☀️💛☀️💛☀️💛☀️💛,team jelly,neutral,0.967,
3341,TEAM JEREMIAH,team jeremiah,neutral,0.956,
3342,OMG I CANT WAIT!,omg i cant wait,excitement,0.618,
3343,If they go against the book I will riot! Team Conrad all the way.,if they go against the book i will riot team conrad all the way,neutral,0.847,
3344,from daylight to red is wild,from daylight to red is wild,neutral,0.961,
3345,sabrina reference in the season three poster AND conrad pops up in the end of the teaser. Bonrad endgame practically confirmed,sabrina reference in the season three poster and conrad pops up in the end of the teaser bonrad endgame practically confirmed,neutral,0.841,
3346,I AM TURNING 26 WHY AM I SO EXCITED FOR THIS TEEN NONSENSE,i am turning 26 why am i so excited for this teen nonsense,excitement,0.802,
3347,JELLY FOREVER where my jelly fans at! they look SO happy together i swear this is the happiest belly has looked throughout this entire show.,jelly forever where my jelly fans at they look so happy together i swear this is the happiest belly has looked throughout this entire show,joy,0.891,😊
3348,Conrad and belly forever,conrad and belly forever,neutral,0.969,
3349,YES YES YES I CLICKED SO FAST,yes yes yes i clicked so fast,approval,0.547,
3350,Who came from Cassie?! 👇🏻,who came from cassie,neutral,0.967,
3351,Team Conrad,team conrad,neutral,0.967,
3352,OMG IM SO EXCITEDDD!! TRAN JELLY 4EVER! 💗,omg im so exciteddd tran jelly 4ever,excitement,0.797,
3353,This most likely all in one episode &gt;.&lt;,this most likely all in one episode gtlt,neutral,0.943,
3354,😭😭😭jamn mnapost trailer wakt bado mbali 😭😭😭mpk July kwel,jamn mnapost trailer wakt bado mbali mpk july kwel,neutral,0.959,
3355,THATTTTTTT TRANSITIOONNNNNNNNNN,thattttttt transitioonnnnnnnnnn,neutral,0.953,
3356,CHILLS - LOVING HIM WAS LIKE DRIVING A NEW MASERATI DOWN A DEAD END STREET. 😭,chills  loving him was like driving a new maserati down a dead end street,love,0.912,❤️
3357,NAAAAAAHHHHHHHHHHH,naaaaaahhhhhhhhhhh,neutral,0.443,
3358,Team Bonradddd!!!!!,team bonradddd,neutral,0.964,
3359,the way conrad dominated the entire thing by just having a candy cane in his mouth and just a “hey” LIKEEE😍😍😍😍,the way conrad dominated the entire thing by just having a candy cane in his mouth and just a hey likeee,neutral,0.939,
3360,I want a daylight kinda love but I NEED Red soo badly...❤,i want a daylight kinda love but i need red soo badly,desire,0.735,
3361,"lol, Jelly shippers who did not read the books are not ready for which ship is really gonna be engame😂",lol jelly shippers who did not read the books are not ready for which ship is really gonna be engame,amusement,0.744,
3362,YESSSS BONRAD TAKEOVER LET’S GO BITCHES,yessss bonrad takeover lets go bitches,neutral,0.922,
3363,Ummm ive honestly given up I can&#39;t choose Conrad or Jeremiah both give me butterflies now😭😭😭,ummm ive honestly given up i can39t choose conrad or jeremiah both give me butterflies now,excitement,0.297,
3364,I DON&#39;T EVEN WATCH THIS SHOW BUT THIS TRAILER MADE MY HEART STOP,i don39t even watch this show but this trailer made my heart stop,disappointment,0.42,
3365,July 16 is far.,july 16 is far,neutral,0.963,
3366,IM SO EXCITED FOR JERAMIAHS DOWN FALL TEAM BONRAD !!,im so excited for jeramiahs down fall team bonrad,excitement,0.783,
3367,"“I don’t wanna look at anything else now that I saw you, I could never look away” <b>*Jeremiah looks away**</b> 👀 I SEE YOU",i dont wanna look at anything else now that i saw you i could never look away bjeremiah looks awayb  i see you,neutral,0.717,
3368,"Wheres Invincible, William?",wheres invincible william,neutral,0.965,
3369,And guess what ? She is gonna choose Conrad ...! <br><br><br>🤫,and guess what  she is gonna choose conrad  brbrbr,neutral,0.934,
3370,How can i fcking be team bonrad and team jelly at the same fcking time,how can i fcking be team bonrad and team jelly at the same fcking time,anger,0.672,😡
3371,AAHHHHHHHHHH IM DYINGNGNGNGN,aahhhhhhhhhh im dyingngngngn,neutral,0.427,
3372,I&#39;m definitely not ready for this. I dunt want jeramayah getting hurt :-(,i39m definitely not ready for this i dunt want jeramayah getting hurt,disapproval,0.632,
3373,Bruv will this season change me from belrad to jelly 😭😭 i havent watched s2 coz she with jer arghhh,bruv will this season change me from belrad to jelly  i havent watched s2 coz she with jer arghhh,neutral,0.943,
3374,JENNY IF U DONT MAKE CONRAD AND BELLY ENDGAME I WILL SUE U,jenny if u dont make conrad and belly endgame i will sue u,neutral,0.714,
3375,CONNIE,connie,neutral,0.944,
3376,Jere×belly <br>Pleaseee!!!! 💗💗💗 <br>Love your ship !!!!!,jerebelly brpleaseee  brlove your ship,love,0.943,❤️
3377,too much jeremiah bro,too much jeremiah bro,neutral,0.904,
3378,BONRAD ENDGAME!!!,bonrad endgame,neutral,0.97,
3379,AGGGHHHHHHGGGGGGGGGGGHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHGGGGGGGGGG OMFG!!!!!! CONNNIEEEE MY BABYYYY,aggghhhhhhggggggggggghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhgggggggggg omfg connnieeee my babyyyy,neutral,0.543,
3380,"I’m sorry I don’t care what team you are, the BUTTERFLIES IN MY STOMACH EXPLODED WHENEVER JEREMIAH AND BELLY KISS😩😩🥵🤭",im sorry i dont care what team you are the butterflies in my stomach exploded whenever jeremiah and belly kiss,remorse,0.685,
3381,BELLYCONRAD ENDGAME INCOMING IKTR,bellyconrad endgame incoming iktr,neutral,0.969,
3382,I’am sorry but the end I can watch this a 1000 times,iam sorry but the end i can watch this a 1000 times,remorse,0.786,
3383,RED FLAGGGG ALERT!,red flagggg alert,neutral,0.965,
3384,Whats wrong with her mouth at the end?,whats wrong with her mouth at the end,curiosity,0.455,
3385,"Finally, someone chose this song—‘Daylight.’ I originally wanted it for the Castlevania season, but it fits perfectly here too",finally someone chose this songdaylight i originally wanted it for the castlevania season but it fits perfectly here too,approval,0.361,
3386,BELLY AND JERE LOOK SOOOOO CUTE TOGETHER!!!!!!,belly and jere look sooooo cute together,admiration,0.922,
3387,ON MY BIRTHDAY!!!!😭😭😭😭😭😭,on my birthday,excitement,0.544,
3388,Literal chills!!,literal chills,neutral,0.821,
3389,Team Jere! ❤,team jere,neutral,0.965,
3390,Yaaaaaaaasssssss let’s goooo,yaaaaaaaasssssss lets goooo,neutral,0.683,
3391,It&#39;s all fun and games until Conrad shows up.,it39s all fun and games until conrad shows up,joy,0.564,😊
3392,DAYLIGHT?.?,daylight,neutral,0.966,
3393,may or may not have watched this 1000 times already im so excited😭,may or may not have watched this 1000 times already im so excited,excitement,0.662,
3394,Oh no!! It’s the final season 😭😭<br>better say goodbye to jellyfish and connie baby<br>Petition for Jenny Han to write a sequel or for prime to renew the show for another season:,oh no its the final season brbetter say goodbye to jellyfish and connie babybrpetition for jenny han to write a sequel or for prime to renew the show for another season,neutral,0.471,
3395,TEAM CONRAD LETS GOOOOO!!! 😍😍,team conrad lets gooooo,neutral,0.964,
3396,What is the name of the song? And I love The Summer I Turned Pretty!!!,what is the name of the song and i love the summer i turned pretty,love,0.879,❤️
3397,"please i hope this season will be the LAST ONE!!!!!!!! according to the books, it must be, but watching the teaser maybe not…😭💔",please i hope this season will be the last one according to the books it must be but watching the teaser maybe not,optimism,0.83,
3398,this coming out is gonna be  the BEST BIRTHDAY PRESENT EVERRR!!!!,this coming out is gonna be  the best birthday present everrr,excitement,0.71,
3399,I am screaming ❤❤😭 <br>Can&#39;t wait 😊,i am screaming  brcan39t wait,excitement,0.366,
3400,ARE YOU KIDDING ME? LETS GOOO CONRADDDDD!,are you kidding me lets gooo conraddddd,amusement,0.887,
3401,Ong taylor,ong taylor,neutral,0.967,
3402,I don&#39;t care about what&#39;s gonna happen I&#39;m team jeremiah forever,i don39t care about what39s gonna happen i39m team jeremiah forever,neutral,0.341,
3403,Bondad for lifeeeeee,bondad for lifeeeeee,neutral,0.945,
3404,I think I&#39;m going to be sick,i think i39m going to be sick,sadness,0.66,😢
3405,i just burst out crying the second i heart daylight so thanks amazon.,i just burst out crying the second i heart daylight so thanks amazon,gratitude,0.938,
3406,I MEAN,i mean,neutral,0.941,
3407,I MEAN,i mean,neutral,0.941,
3408,Jere is better cus Conrad doesn’t care as much abt belly he is selfish,jere is better cus conrad doesnt care as much abt belly he is selfish,neutral,0.664,
3409,So sorry but team Jeremiah 😅🎉,so sorry but team jeremiah,remorse,0.746,
3410,god i just know conrad is gonna ruin their relationship,god i just know conrad is gonna ruin their relationship,disappointment,0.367,
3411,THE BELLYJERE DATING ERA OH NO ONE COULD EVE3RRRRR MAKE ME HATE YOUUU,the bellyjere dating era oh no one could eve3rrrrr make me hate youuu,anger,0.752,😡
3412,I would love to pound Belly in all sorts of wonderful positions!!!!,i would love to pound belly in all sorts of wonderful positions,love,0.936,❤️
3413,GIVE IT TO ME NOW,give it to me now,neutral,0.952,
3414,So early,so early,neutral,0.896,
3415,Got here only to listen to Tay ❤,got here only to listen to tay,neutral,0.961,
3416,THE CANDY FUCKING CANEEEEEEEEEE AGHHHHHH,the candy fucking caneeeeeeeeee aghhhhhh,anger,0.36,😡
3417,IT&#39;S CONNIE BABYS TIME TO SHINEEEE,it39s connie babys time to shineeee,neutral,0.81,
3418,that &quot;hey&quot; owns everything.,that quotheyquot owns everything,neutral,0.95,
3419,TEAM CONNIE BABY,team connie baby,neutral,0.961,
3420,I will cry if she doesn’t end with jere,i will cry if she doesnt end with jere,sadness,0.887,😢
3421,TEAM CONNIE BABY !!!!!!!,team connie baby,neutral,0.961,
3422,That “hey” is all I need to know there’s gonna be sooo much drama 😭,that hey is all i need to know theres gonna be sooo much drama,neutral,0.276,
3423,team anti Belly! 😂,team anti belly,neutral,0.967,
3424,"Already crying, I Can&#39;t believe they gonna split this beautiful couple 😭😭😭",already crying i can39t believe they gonna split this beautiful couple,admiration,0.368,
3425,"I’m only gonna watch it, when Conrad is endgame! 🙈",im only gonna watch it when conrad is endgame,neutral,0.912,
3426,"THE WAY THAT MINI CANDY CANE, OH IT IS THE EXACT SCENE FROM BOOKS. As a book girlie, can&#39;t wait",the way that mini candy cane oh it is the exact scene from books as a book girlie can39t wait,excitement,0.492,
3427,Can someone let me know which Taylor swift songs are playing in this teaser? I love it!!!! So excited,can someone let me know which taylor swift songs are playing in this teaser i love it so excited,love,0.51,❤️
3428,- How many times have you watched this?<br>+ Yes,how many times have you watched thisbr yes,curiosity,0.561,
3429,"Just this trailer reminds me of sweet magnolias, Annie and Jackson looked and are so inlove bit there is this other guy that is the og endgame so they put it together and they aren’t that happy",just this trailer reminds me of sweet magnolias annie and jackson looked and are so inlove bit there is this other guy that is the og endgame so they put it together and they arent that happy,neutral,0.365,
3430,Are you Team JellyFish oder Conrad ?,are you team jellyfish oder conrad,curiosity,0.569,
3431,That 1sec of conrad is what makes this trailer ❤,that 1sec of conrad is what makes this trailer,neutral,0.867,
3432,BLEYYJERE&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,bleyyjeregtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgt,neutral,0.964,
3433,"YOU CAN SEE THE MOMENT BELLY SEES CONRAD, HE IS ALL THAT MATTERS IN THAT MOMENT. LOOKING WITH THOSE EYES, HOLDING HER BREATH. ❤",you can see the moment belly sees conrad he is all that matters in that moment looking with those eyes holding her breath,neutral,0.938,
3434,When is the real trailer ?,when is the real trailer,curiosity,0.566,
3435,I know this is going to be Conrad’s season but I can’t see jere unhappy he is literally a sweetheart and I hate when the writers have to make the sl commit a bad act to make their main lead look amazing especially when it’s so out of character…,i know this is going to be conrads season but i cant see jere unhappy he is literally a sweetheart and i hate when the writers have to make the sl commit a bad act to make their main lead look amazing especially when its so out of character,anger,0.319,😡
3436,The transition?!😭💗,the transition,neutral,0.962,
3437,IM SO EXCITEDDD,im so exciteddd,excitement,0.807,
3438,"I AM CRYING, THEY USED ALL BELLYJERE IN THE TRAILER. THEY ARE GATEKEEPING CONRAD SO BAD. I AM EXCITED.B",i am crying they used all bellyjere in the trailer they are gatekeeping conrad so bad i am excitedb,excitement,0.673,
3439,"They should just create two endings. A happy ending with Jere. And one with Conrad. Please, so we don’t suffer 😭",they should just create two endings a happy ending with jere and one with conrad please so we dont suffer,neutral,0.577,
3440,The audacity of him entering her life with a simple HEY . That&#39;s very nonchalant of Conrad 😭😭,the audacity of him entering her life with a simple hey  that39s very nonchalant of conrad,neutral,0.948,
3441,Why is everything about Belly man. Conrad needs to move on and find someone who deserves him. I don&#39;t know why people keep shipping a toxic relationship. 😐,why is everything about belly man conrad needs to move on and find someone who deserves him i don39t know why people keep shipping a toxic relationship,confusion,0.847,
3442,"belly and jeremiah are my roman empire, hate thissss if she ends with conrad",belly and jeremiah are my roman empire hate thissss if she ends with conrad,anger,0.322,😡
3443,always daylight(jer) never red ( conrad),always daylightjer never red  conrad,neutral,0.964,
3444,his hey was enough,his hey was enough,neutral,0.933,
3445,Jellyfish forever,jellyfish forever,neutral,0.967,
3446,IMMA THROW UPPP,imma throw uppp,neutral,0.941,
3447,HEYYYYY CONNIE BABYY,heyyyyy connie babyy,neutral,0.85,
3448,Wasn’t she dating conrad the other day?,wasnt she dating conrad the other day,neutral,0.83,
3449,TEAM JER 4EVER🩵,team jer 4ever,neutral,0.968,
3450,Stop!!! The song!!! I can’t!!,stop the song i cant,disapproval,0.529,
3451,TEAM JEREMIAH!!!!,team jeremiah,neutral,0.956,
3452,I HATE CONRATTTTT,i hate conrattttt,anger,0.819,😡
3453,TEAM CONNIE BABY,team connie baby,neutral,0.961,
3454,"this, is my worst nightmare",this is my worst nightmare,fear,0.847,😱
3455,"Oh she def still loves him, even if you didn’t read the books her facial expression alone says it all.",oh she def still loves him even if you didnt read the books her facial expression alone says it all,love,0.785,❤️
3456,i almost pooed my pants omg,i almost pooed my pants omg,surprise,0.433,😲
3457,The transition to Red once Conrad appeared was GOLD.,the transition to red once conrad appeared was gold,neutral,0.955,
